subject	run-01	run-02	run-03	run-04	run-05	run-06	run-07	run-08	run-09
sub-CN001	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN002	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN003	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN004	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN005	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN006	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN007	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN008	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN009	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN010	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN011	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN012	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN013	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN014	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN015	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN016	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN017	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN018	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN019	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN020	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN021	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN022	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN023	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN024	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN025	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN026	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN027	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN028	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN029	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
sub-CN030	287.0	326.0	326.0	311.0	297.0	396.0	368.0	297.0	405.0
